;SW:5Q0-959-435-C   HW:5Q0-959-435 ---  Acc/Start Auth.
;Component:VWKESSYMQB    021 0803, Coding:032C0C
;EV_KessyHellaMQBAB,002020,EV_KessyHellaMQBAB_002_VW37.rod
;Thursday,01,May,2025,22:19:37:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 3C2134ED16E8593A932-8068

IDE03251-Stop enable for Start/Stop function,According to function requirements ,1
IDE04159-Deactivation of start/stop function,not active ,1
ENG105462-CAN-timeout service-key message,260 ms,1
ENG105634-Correction value LED dimming,1.0 ,1
ENG114301-Cycletime for voltage monitoring during sleepmode,100 ms,1
ENG120046-Cyclic interior scan during clamp 15 on,10 s,1
ENG105791-Delta value LED dimming curve first point 40 percent dimming,30.0 %,1
ENG105792-Delta value LED dimming curve forth point 100 percent dimming,5.0 %,1
ENG105793-Delta value LED dimming curve second point 60 percent dimming,15.0 %,1
ENG105794-Delta value LED dimming curve third point 80 percent dimming,10.0 %,1
ENG105803-ENG120037-DeveloperCoding: Key Minder (Byte 1)-Cyclic interior scan during active warning message "Key not found",not activated ,1
ENG105803-ENG101923-DeveloperCoding: Key Minder (Byte 1)-Retry handling big car / expanded search,activated ,1
ENG105803-ENG100928-DeveloperCoding: Key Minder (Byte 1)-Seat Memory: scan after driver door opening,not activated ,1
ENG105803-ENG99649-DeveloperCoding: Key Minder (Byte 1)-Seat Memory: scan after driver door opening no KESSY unlocking,activated ,1
ENG105803-ENG99417-DeveloperCoding: Key Minder (Byte 1)-Softtouch mounted,installed ,1
ENG105804-ENG99123-DeveloperCoding: Key Minder (Byte 2)-Inhibit ID-transmitter for passive go,activated ,1
ENG105804-ENG102581-DeveloperCoding: Key Minder (Byte 2)-Lock prevention tailgate,not activated ,1
ENG105804-ENG101018-DeveloperCoding: Key Minder (Byte 2)-No locking with ID-transmitter last used interior,activated ,1
ENG105804-ENG103451-DeveloperCoding: Key Minder (Byte 2)-Re-open after passive comfort closing,activated ,1
ENG105804-ENG99711-DeveloperCoding: Key Minder (Byte 2)-Re-open last handling,ZV entriegeln ,1
ENG105804-ENG103237-DeveloperCoding: Key Minder (Byte 2)-Re-open tailgate,activated ,1
ENG105804-ENG104103-DeveloperCoding: Key Minder (Byte 2)-Send numbers of ID-transmitters interior (ELV-Scan),activated ,1
ENG153804-ENG154598-DeveloperCoding: Miscellaneous 2-exeption_drivers_doors_interior_scan,activated ,1
ENG153804-ENG154691-DeveloperCoding: Miscellaneous 2-interior_scan_clamp_15_new_concept,activated ,1
ENG153804-ENG154710-DeveloperCoding: Miscellaneous 2-open_cabrio_canopy_interior_scan,not activated ,1
ENG105807-ENG121989-DeveloperCoding: Passiv Entry Exit (Byte 1)-Impairment Entry / Exit key on low battery,not activated ,1
ENG105807-ENG125240-DeveloperCoding: Passiv Entry Exit (Byte 1)-lf_crc,not activated ,1
ENG105807-ENG99763-DeveloperCoding: Passiv Entry Exit (Byte 1)-Passive Exit: access door not open,activated ,1
ENG105807-ENG103722-DeveloperCoding: Passiv Entry Exit (Byte 1)-Passive Exit: all doors not open,not activated ,1
ENG105808-ENG155267-DeveloperCoding: Passiv Entry Exit (Byte 2)-lf_shutdown,activated ,1
ENG105808-ENG155268-DeveloperCoding: Passiv Entry Exit (Byte 2)-lf_shutdown_gotrigger,not activated ,1
ENG105808-ENG148905-DeveloperCoding: Passiv Entry Exit (Byte 2)-Passive Entry at door locked/safed OR ZV safed,activated ,1
ENG105808-ENG123039-DeveloperCoding: Passiv Entry Exit (Byte 2)-Passive Entry Exit,activated ,1
ENG105808-ENG103289-DeveloperCoding: Passiv Entry Exit (Byte 2)-Passive Entry Exit: control by pulling door handle during active DSL,activated ,1
ENG105808-ENG103620-DeveloperCoding: Passiv Entry Exit (Byte 2)-Passive Entry Exit: retry with antennastep 1,activated ,1
ENG105808-ENG103529-DeveloperCoding: Passiv Entry Exit (Byte 2)-Passive Entry: second control concept,not activated ,1
ENG105809-ENG114300-DeveloperCoding: Passiv Go-Change Go antenna at every request,not activated ,1
ENG105809-ENG114299-DeveloperCoding: Passiv Go-Change Go antenna during retry challenge,activated ,1
ENG105809-ENG100524-DeveloperCoding: Passiv Go-GO only via antenna IN1 if sliding door open,not activated ,1
ENG105809-ENG102049-DeveloperCoding: Passiv Go-GO only via antenna IN1 if tailgate open,not activated ,1
ENG105809-ENG121990-DeveloperCoding: Passiv Go-Impairment go on a low key battery,not activated ,1
ENG105809-ENG102152-DeveloperCoding: Passiv Go-Passive Go,activated ,1
ENG105809-ENG99072-DeveloperCoding: Passiv Go-Passive Go: tailgate authorized to start,activated ,1
ENG123038-ENG104126-DeveloperCoding: Proximity Sensor-AUDI doorknobs mounted,not activated ,1
ENG123038-ENG102457-DeveloperCoding: Proximity Sensor-Detection of an repeated failed doorknob actuation,activated ,1
ENG123038-ENG148896-DeveloperCoding: Proximity Sensor-Easy Trunk,not activated ,1
ENG123038-ENG102353-DeveloperCoding: Proximity Sensor-No turn off for driver doorknob while passive,Fahrertürgriff wird nicht abgeschaltet ,1
ENG123038-ENG99826-DeveloperCoding: Proximity Sensor-Proximity Sensor: sensor stays active after fault detection,not activated ,1
ENG123038-ENG102252-DeveloperCoding: Proximity Sensor-Suppress fault manager entry "Falschverbau aktiv",Fehlerspeichereintrag wird nicht unterdrueckt ,1
ENG123036-ENG102436-DeveloperCoding: Search lights-Standardisation of ZAT,activated ,1
ENG123036-ENG148895-DeveloperCoding: Search lights-ZAT active during clamp 58xt on,activated ,1
