;SW:5Q0-959-592-E   HW:5Q0-959-592-B ---  Door Elect, Pass.
;Component:TSG BFS       020 0041, Coding:00311120DE00048000001000
;EV_DCUPasseSideEWMAXKLO,006003,EV_DCUPasseSideEWMAXCONT_VW37.rod
;Thursday,01,May,2025,22:25:23:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 42DD4A15740C2FCAD9E-8016

IDE00001-Production mode,00000000 00000000 00000000  ,3
IDE02332-Deactivate production mode,00000000 00000000 00000000  ,3
ENG117308-Patch_Code_Passenger_Side_Rear,00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 22 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,128
ENG117298-Reversing_Threshold_Passenger_Side_Front,90 %,1
ENG117300-Reversing_Threshold_Passenger_Side_Rear,90 %,1
ENG117306-Window_Regulator_Supplier_Settings_Passenger_Side_Rear_1,00 00 14 03 2B 14 F0 F0 F0 00 20 00 FC 7C 00 14 00 0A 06 64 01 F4 32 0F 00 07 80 00 00 07 3F 80 00 B4 00 0C 00 0C 00 27 00 50 00 89 00 D1 01 29 01 7B 04 04 03 01 03 07 03 E8 0B B8 32 05 0F 2D 50 73 04 04 9A 3C 09 1A 36 63 00 83 E0 E7 04 4E 53 70 CA 00 03 00 0C 00 0F 01 6E 5A 01 90 85 07 D0 10 10 00 14 00 14 03 84 27 10 53 6D 03 00 10 80 0C 01 FF 9F FF 10 00 00 0A 01 00 00 00 A2 F0 ,128
ENG117307-Window_Regulator_Supplier_Settings_Passenger_Side_Rear_2,02 BC 02 58 14 EC FF 02 02 0A 02 01 00 0A 05 28 02 12 19 0A 00 05 F6 32 1E 0F 00 02 FE 05 05 FB 12 0D 00 00 00 00 FF 00 00 00 00 FF 00 23 00 19 1E 20 1E FA D8 C4 F6 F1 28 1E 32 05 1E 00 00 32 03 1E 0C 12 10 FA EC E2 F6 FB 1E 14 32 00 0B 14 00 FA 02 19 0D 16 14 FA D8 C4 F6 F1 28 1E 32 05 0D 00 0A 28 0A 0A 28 23 05 0A 28 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03 19 ,128
ENG117305-Window_Regulator_VW_Settings_Passenger_Side_Rear,F6 00 F0 00 10 19 0F 03 F0 08 00 14 C8 00 00 00 01 A4 01 C2 09 64 23 1E 19 00 32 32 01 90 00 00 00 00 00 00 00 B4 00 00 32 3C C8 00 4E 00 4D 79 00 00 32 60 D3 6D CF 64 1E 32 0A 0A 5B D9 6D CF 64 14 32 32 32 14 00 00 33 32 30 33 01 00 00 00 00 00 00 00 00 00 7C BE ,88


Elapsed Time: 00:07
