;SW:5NA-035-020-D   HW:5NA-035-020 ---  Information Electr.
;Component:MU-H-ND-EU    H54 1367, Coding:02738001FF0000004111010100880A231F0105D4012005009E
;EV_MUHig4CGen2HBAS,001001,EV_MUHig4CGen2HBAS_VW37.rod
;Thursday,01,May,2025,22:25:37:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 323D1AD5C4AC9F4A49E-8066

IDE00001-Production mode,00 00 00 ,3
IDE00346-Summertime-automatic,Europe ,1
IDE00759-Base volume of speech output,50 %,1
IDE00760-Microphone sensitivity,0 dB,1
IDE00768-Country identification: country of sale,-- ,2
IDE00769-Call number 1 for info call,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,23
IDE00770-Number 1 for roadside assistance,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,23
IDE00820-ENG117828-Activating and deactivating all development messages-Infotainment_CAN_Messages,OFF ,1
IDE00820-ENG117829-Activating and deactivating all development messages-MIB_CAN_Messages,OFF ,1
IDE00845-Wheel circumference,0 mm,2
IDE01996-MAS00076-Installation list: specified installations-Instrument cluster control module,No ,3
IDE01996-MAS00839-Installation list: specified installations-TV Tuner,No ,3
IDE01996-MAS00844-Installation list: specified installations-Radio,No ,3
IDE01996-MAS00847-Installation list: specified installations-Digital Sound System Control Module,No ,3
IDE01996-MAS00849-Installation list: specified installations-Information electronics control module 1,Yes ,3
IDE01996-MAS00850-Installation list: specified installations-Information electronics control module 2,No ,3
IDE01996-MAS04300-Installation list: specified installations-DVD changer,No ,3
IDE01996-MAS14306-Installation list: specified installations-Windshield projection head up display control module,No ,3
IDE01996-SFT271943-Installation list: specified installations-Multimedia system control head,No ,3
IDE01996-ENG154341-Installation list: specified installations-Reserved_8,No ,3
IDE01996-ENG152491-Installation list: specified installations-Smart Control Carrier 1,No ,3
IDE01996-ENG152490-Installation list: specified installations-Smart Control Carrier 2,No ,3
IDE01996-ENG152488-Installation list: specified installations-Smart Display Carrier 1,No ,3
IDE01996-ENG152492-Installation list: specified installations-Smart Display Carrier 2,No ,3
IDE01996-ENG152493-Installation list: specified installations-Wireless Charger 1,No ,3
IDE01996-ENG152489-Installation list: specified installations-Wireless Charger 2,No ,3
IDE02121-CD eject button,Enabled ,1
IDE02122-Developer mode,not activated ,1
IDE02330-Call number 2 for info call,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,23
IDE02331-Number 2 for roadside assistance,FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF ,23
IDE02332-Deactivate production mode,0 ,3
IDE02476-MAS03001-Electrical test of speakers-Mode,automatic ,49
IDE02476-ENG117360-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_1_Test_Frequency,19000 Hz,49
IDE02476-ENG117361-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_1_Test_Volume,22 ,49
IDE02476-ENG117378-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_10_Test_Frequency,19000 Hz,49
IDE02476-ENG117379-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_10_Test_Volume,22 ,49
IDE02476-ENG117380-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_11_Test_Frequency,19000 Hz,49
IDE02476-ENG117381-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_11_Test_Volume,22 ,49
IDE02476-ENG117382-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_12_Test_Frequency,19000 Hz,49
IDE02476-ENG117383-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_12_Test_Volume,22 ,49
IDE02476-ENG117384-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_13_Test_Frequency,19000 Hz,49
IDE02476-ENG117385-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_13_Test_Volume,22 ,49
IDE02476-ENG117386-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_14_Test_Frequency,19000 Hz,49
IDE02476-ENG117387-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_14_Test_Volume,22 ,49
IDE02476-ENG117388-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_15_Test_Frequency,19000 Hz,49
IDE02476-ENG117389-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_15_Test_Volume,22 ,49
IDE02476-ENG117390-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_16_Test_Frequency,19000 Hz,49
IDE02476-ENG117391-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_16_Test_Volume,22 ,49
IDE02476-ENG117362-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_2_Test_Frequency,19000 Hz,49
IDE02476-ENG117363-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_2_Test_Volume,22 ,49
IDE02476-ENG117364-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_3_Test_Frequency,19000 Hz,49
IDE02476-ENG117365-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_3_Test_Volume,22 ,49
IDE02476-ENG117366-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_4_Test_Frequency,19000 Hz,49
IDE02476-ENG117367-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_4_Test_Volume,22 ,49
IDE02476-ENG117368-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_5_Test_Frequency,19000 Hz,49
IDE02476-ENG117369-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_5_Test_Volume,22 ,49
IDE02476-ENG117370-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_6_Test_Frequency,19000 Hz,49
IDE02476-ENG117371-Electrical test of speakers-Parameter_AC-Diagnostics_Channel_6_Test_Volume,22 ,49
