;SW:5NA-035-284-B   HW:5NA-035-284-B ---  Telematics
;Component:OCULowMQBLGE  H17 0718, Coding:02737001EA42980D3FFCBE000045400382E608
;EV_OCULowMQBLGE,004044,EV_OCULowMQBLGE_004_VW25.rod
;Thursday,01,May,2025,22:26:53:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 3C2134ED16E8593A932-8068

IDE00001-Production mode,00 00 00 ,3
IDE00608-MAS00713-Fuel type-Petrol,not installed ,1
IDE00608-MAS00716-Fuel type-Diesel,not installed ,1
IDE00608-MAS00717-Fuel type-Petroleum gas,not installed ,1
IDE00608-MAS00718-Fuel type-Natural gas,not installed ,1
IDE00608-MAS00720-Fuel type-Battery / electric,installed ,1
IDE00608-MAS03131-Fuel type-Hydrogen,not installed ,1
IDE00761-MAS08397-Run-on time-Long term energy budget,3600 mAh,14
IDE00761-MAS08398-Run-on time-Short term energy budget,2000 mAh,14
IDE00761-MAS08399-Run-on time-Waiting period from sleep to standby mode,5 min,14
IDE00761-MAS08400-Run-on time-Waiting period from standby to stop mode,336 H,14
IDE00761-MAS08950-Run-on time-Time period for cyclic stop mode in operating mode,0 min,14
IDE00761-MAS08951-Run-on time-Time period for cyclic standby mode in operating mode,0 min,14
IDE00761-MAS08952-Run-on time-Time period for operating mode,0 d,14
IDE00761-MAS08953-Run-on time-Cyclic time after the operating mode,0 H,14
IDE00761-MAS08954-Run-on time-Connection after T. 15 on,Yes ,14
IDE00761-MAS08955-Run-on time-Time period for connection after T. 15 on,15 min,14
IDE00765-Delay of audio output,1.0 s,1
IDE00766-Reference channel delay,0 ms,1
IDE00769-Call number 1 for info call, ,15
IDE00770-Number 1 for roadside assistance, ,15
IDE01630-ENG154630-Key illumination in telephone operating unit-green_led_Active_call,1000 ms,16
IDE01630-ENG154631-Key illumination in telephone operating unit-green_led_Disable,5000 ms,16
IDE01630-ENG154632-Key illumination in telephone operating unit-green_led_Error_enable,5000 ms,16
IDE01630-ENG154633-Key illumination in telephone operating unit-green_led_Service_mode,500 ms,16
IDE01630-ENG154708-Key illumination in telephone operating unit-off_Active_call,1000 ms,16
IDE01630-ENG154709-Key illumination in telephone operating unit-off_Disable,1000 ms,16
IDE01630-ENG154715-Key illumination in telephone operating unit-red_led_Error_enable,1000 ms,16
IDE01630-ENG154825-Key illumination in telephone operating unit-yellow_Service_mode,500 ms,16
IDE02067-Antenna for telephone status,emergency_switch ,1
IDE02330-Call number 2 for info call,+31334949226 ,15
IDE02331-Number 2 for roadside assistance,+31703145881 ,15
IDE02332-Deactivate production mode,0 ,3
IDE03481-Emergency telephone number,112 ,15
IDE04292-MAS01632-Roadside assistance mode-Status,Security access required,15
IDE04292-ENG154587-Roadside assistance mode-Deactivation_Indication_Period,Security access required,15
IDE04307-MAS00688-Vehicle function list BAP-Multi-function display,activated ,2
IDE04307-MAS02444-Vehicle function list BAP-Central locking,activated ,2
IDE04307-MAS04219-Vehicle function list BAP-Parking heater,not activated ,2
IDE04307-MAS06654-Vehicle function list BAP-Charge manager,activated ,2
IDE04307-ENG117726-Vehicle function list BAP-service_interval_display_0x12,activated ,2
IDE07699-Mobile network operator,apn3.vwg-connect ,63
IDE09244-Fuel tank volume,0 l,1
IDE11106-ENG98714-Remote door locking functionality-lock,activated ,1
IDE11106-ENG98998-Remote door locking functionality-unlock,activated ,1
IDE11107-Remote door locking safety protocol,Security access required,1
IDE11108-Remote vehicle immobilizer safety protocol,Security access required,1
IDE11109-Remote door locking status update delay,0 s,1
IDE11138-Certificate,MBB_EU (CA0D) ,1
IDE11280-eCall timeout time,10 min,1
IDE11281-MAS01632-eCall SMS message-Status,not activated ,16
IDE11281-MAS04226-eCall SMS message-Telephone number, ,16
IDE11306-ENG154717-Vehicle status remote query-Remote_Vehicle_Status_BEM_Alert_Changed,not activated ,5
IDE11306-ENG154718-Vehicle status remote query-Remote_Vehicle_Status_Bussleep,activated ,5
IDE11306-ENG154719-Vehicle status remote query-Remote_Vehicle_Status_Bussleep_Delay,5 s,5
IDE11306-ENG123302-Vehicle status remote query-Remote_Vehicle_Status_Clamp_15_Off_Delay,5 s,5
IDE11306-ENG123301-Vehicle status remote query-Remote_Vehicle_Status_Clamp_15_On_Delay,1275 s,5
IDE11306-ENG154720-Vehicle status remote query-Remote_Vehicle_Status_Trigger_Relock,1275 s,5
IDE12154-Center distance,2200 mm,2
IDE12155-MAS08451-Lane width-Front axle,1850 mm,4
IDE12155-MAS08452-Lane width-Rear axle,1850 mm,4
MAS02926-Maximum wait time,10 s,1
MAS07467-Speed warning maximum speed,0 km/h,2
MAS08170-User profile name,vodafone ,25
MAS08171-User profile password,vodafone ,25
