;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
;EV_BCMMQB,018001,EV_BCMBOSCH_018.rod
;Saturday,17,May,2025,14:10:39:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 0849983D12B0C59AC7A-805C

IDE00001-ENG99061-Production mode-Access control,not active ,3
IDE00001-ENG115730-Production mode-Exterior lighting,not active ,3
IDE00001-ENG112304-Production mode-Heckwischer,not active ,3
IDE00001-ENG98647-Production mode-Interior lights,not active ,3
IDE00001-ENG115729-Production mode-Scheinwerferreinigung,not active ,3
IDE00001-ENG115731-Production mode-Virtuel_pedal,not active ,3
IDE00002-Transport mode,active ,1
IDE00820-Activating and deactivating all development messages,not active ,1
IDE01550-Service position,170.494336 °,2
IDE02152-Characteristics in production mode,2000 ms,4
IDE02269-MAS04382-Acknowledgement signals-Optical feedback during locking,DELAY ,10
IDE02269-ENG116666-Acknowledgement signals-Akustische Rueckmeldung entriegeln,active ,10
IDE02269-ENG116669-Acknowledgement signals-Akustische Rueckmeldung global,active ,10
IDE02269-ENG116670-Acknowledgement signals-Akustische Rueckmeldung Signalhorn,not active ,10
IDE02269-ENG116667-Acknowledgement signals-Akustische Rueckmeldung verriegeln,active ,10
IDE02269-ENG122187-Acknowledgement signals-Dauer der Akustischen Rueckmeldung vom Einfachhorn,short ,10
IDE02269-ENG122188-Acknowledgement signals-Menuesteuerung akustische Rueckmeldung,active ,10
IDE02269-ENG122995-Acknowledgement signals-Optische Rueckmeldung 3.Bremsleuchte,not active ,10
IDE02269-ENG116668-Acknowledgement signals-Optische Rueckmeldung Komfortschliessen,active ,10
IDE02269-ENG133344-Acknowledgement signals-Quittierton bei zweitem ZV-AUF-Befehl,not active ,10
IDE02269-ENG133345-Acknowledgement signals-Quittierton bei zweitem ZV-ZU-Befehl,not active ,10
IDE02269-ENG142248-Acknowledgement signals-ZV-Blinken_Abschluss_Dunkelzeit,200 ms,10
IDE02269-ENG142247-Acknowledgement signals-ZV-Blinken_Dunkelzeit,200 ms,10
IDE02269-ENG142246-Acknowledgement signals-ZV-Blinken_Hellzeit,200 ms,10
IDE02332-Deactivate production mode,0 ,3
IDE02488-Anti-theft system interior monitoring,100 %,1
