;SW:3Q0-907-530-AD   HW:3Q0-907-530-D ---  CAN Gateway
;Component:GW MQB EV     621 6383, Coding:0201001704F81000FB001290081F00000001070100070000000300000000
;EV_GatewNF,013026,EV_GatewNF_VW37.rod
;Saturday,17,May,2025,14:08:24:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 71BFD5D9012AE452704-8024

IDE00001-ENG124491-Production mode-p_mode_deactivate_mfl_keys,Deactivating ,3
IDE00001-ENG118694-Production mode-p_mode_deactivate_recuperation,Deactivating ,3
IDE00002-Transport mode,not active ,1
IDE00820-MAS01172-Activating and deactivating all development messages-Development messages,not active ,1
IDE00820-ENG98891-Activating and deactivating all development messages-Reserved,0 ,1
IDE01211-Static current measuring mode,not activated ,1
IDE01457-Energy management deactivation stage,Mode not active ,1
IDE01459-Energy management heat output control status,Mode not active ,1
IDE01844-Increase idle speed request,Mode not active ,1
IDE01847-ENG118685-Auxiliary heater activation restriction request-Set_point_target_time,-- ,3
IDE01847-ENG118684-Auxiliary heater activation restriction request-Switch_on_ban_activation,Mode not active ,3
IDE01860-Generator specified voltage value variable,10.6 V,1
IDE01996-SFT00001-Installation list: specified installations-Engine Electronics,coded ,32
IDE01996-SFT00002-Installation list: specified installations-Transmission Electronics,Not coded ,32
IDE01996-SFT00003-Installation list: specified installations-Brake electronics,coded ,32
IDE01996-SFT00006-Installation list: specified installations-Seat adjustment: passenger's side,Not coded ,32
IDE01996-SFT00008-Installation list: specified installations-Climate Control Module,coded ,32
IDE01996-SFT00009-Installation list: specified installations-Electronic central electric,coded ,32
IDE01996-SFT00011-Installation list: specified installations-Auxiliary Air Heater,Not coded ,32
IDE01996-SFT00014-Installation list: specified installations-Media Player 1,Not coded ,32
IDE01996-SFT00019-Installation list: specified installations-Adaptive Cruise Control,coded ,32
IDE01996-SFT00020-Installation list: specified installations-Wheel Damping Electronics,Not coded ,32
IDE01996-SFT00021-Installation list: specified installations-Airbag,coded ,32
IDE01996-SFT00022-Installation list: specified installations-Steering Column Electronics,coded ,32
IDE01996-SFT00023-Installation list: specified installations-Instrument cluster,coded ,32
IDE01996-SFT00024-Installation list: specified installations-Auxiliary/parking heating,Not coded ,32
IDE01996-SFT00025-Installation list: specified installations-Data Bus OBD Interface,1 ,32
IDE01996-SFT00028-Installation list: specified installations-Vehicle Position Detection,Not coded ,32
IDE01996-SFT00032-Installation list: specified installations-High beam assistant,Not coded ,32
IDE01996-SFT00033-Installation list: specified installations-Battery management 2,Not coded ,32
IDE01996-SFT00034-Installation list: specified installations-All-wheel drive electronics,Not coded ,32
IDE01996-SFT00035-Installation list: specified installations-Brake Boost,coded ,32
IDE01996-SFT00038-Installation list: specified installations-Convertible top operation,Not coded ,32
IDE01996-SFT00043-Installation list: specified installations-Steering column lock,coded ,32
IDE01996-SFT00048-Installation list: specified installations-Special Function 2,Not coded ,32
IDE01996-SFT00050-Installation list: specified installations-Differential lock electronics,Not coded ,32
IDE01996-SFT00054-Installation list: specified installations-Seat adjustment: driver side,Not coded ,32
IDE01996-SFT00060-Installation list: specified installations-Lane change assistance,coded ,32
