;SW:3Q0-907-338   HW:3Q0-907-338 ---  Multifunc. Module
;Component:FCM MQB Low   002 0286, Coding:000000070100054A00000101020000000000000000000000000000000000
;EV_MultiModulContiVW48X,001010,EV_MultiModulContiVW48X_001_VW37.rod
;Saturday,17,May,2025,14:15:12:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 72BDDAD5042CDF4A89E-8026

IDE00001-Production mode,not active ,3
IDE00820-Activating and deactivating all development messages,not active ,1
IDE01996-MAS14455-Installation list: specified installations-Multifunction module on the second bus connection,Yes ,1
IDE01996-SFT00041-Installation list: specified installations-Left light control,No ,1
IDE01996-SFT00057-Installation list: specified installations-Right light control,No ,1
IDE01996-SFT00075-Installation list: specified installations-Multi-function module,Yes ,1
IDE01996-SFT00214-Installation list: specified installations-Light Control Left 2,Yes ,1
IDE01996-SFT00215-Installation list: specified installations-Light Control Right 2,Yes ,1
IDE02332-Deactivate production mode,0 ,3
IDE03641-Presentation run dynamic AFS light,active ,1
IDE03642-Presentation mode,not active ,1
IDE03679-Adaptive light functions,active ,1
IDE03787-Activate left/right hand drive switch-over,not active ,1
IDE08418-Matrix light: total dimming,100 %,1
IDE09156-Matrix headlamp: function at standstill,not active ,1
IDE09568-MAS09833-Bit pattern of individual segment activation: left headlight-LED 1,OFF ,6
IDE09568-MAS09834-Bit pattern of individual segment activation: left headlight-LED 2,OFF ,6
IDE09568-MAS09835-Bit pattern of individual segment activation: left headlight-LED 3,OFF ,6
IDE09568-MAS09836-Bit pattern of individual segment activation: left headlight-LED 4,OFF ,6
IDE09568-MAS09837-Bit pattern of individual segment activation: left headlight-LED 5,OFF ,6
IDE09568-MAS09838-Bit pattern of individual segment activation: left headlight-LED 6,OFF ,6
IDE09568-MAS09839-Bit pattern of individual segment activation: left headlight-LED 7,OFF ,6
IDE09568-MAS09840-Bit pattern of individual segment activation: left headlight-LED 8,OFF ,6
IDE09568-MAS09841-Bit pattern of individual segment activation: left headlight-LED 9,OFF ,6
IDE09568-MAS09842-Bit pattern of individual segment activation: left headlight-LED 10,OFF ,6
IDE09568-MAS09843-Bit pattern of individual segment activation: left headlight-LED 11,OFF ,6
IDE09568-MAS09844-Bit pattern of individual segment activation: left headlight-LED 12,OFF ,6
IDE09568-MAS09845-Bit pattern of individual segment activation: left headlight-LED 13,OFF ,6
IDE09568-MAS09846-Bit pattern of individual segment activation: left headlight-LED 14,OFF ,6
IDE09568-MAS09847-Bit pattern of individual segment activation: left headlight-LED 15,OFF ,6
IDE09568-MAS09848-Bit pattern of individual segment activation: left headlight-LED 16,OFF ,6
IDE09568-MAS09849-Bit pattern of individual segment activation: left headlight-LED 17,OFF ,6
IDE09568-MAS09850-Bit pattern of individual segment activation: left headlight-LED 18,OFF ,6
IDE09568-MAS09851-Bit pattern of individual segment activation: left headlight-LED 19,OFF ,6
IDE09568-MAS09852-Bit pattern of individual segment activation: left headlight-LED 20,OFF ,6
IDE09568-MAS09853-Bit pattern of individual segment activation: left headlight-LED 21,OFF ,6
