;33-OBD2
;Saturday,17,May,2025,14:18:44:16365
;VCDS Version: Release 25.3.1  Data version: 20250415 DS365.0
;VCID: 7EA5FEE540748B2AFD6-802A

04,Calculated load value,100.0 %
05,Engine coolant temperature,215 °C
0C,Engine RPM,16384 /min
0D,Vehicle speed,0 km/h
1C,OBD Requirements Met,None
21,Distance travelled with MIL on,0 km
30,Warm-ups since DTC cleared,2
31,Distance since DTC cleared,190 km
42,Control module voltage,13.122 V
43,Absolute Load Value,1535 %
46,Ambient Air Temp,21 °C
49,Accelerator Pedal Position D,15.3 %
4A,Accelerator Pedal Position E,14.9 %
51,Fuel type,Battery/elec.

Mode 9 : Calibration Identification
Type 02 - VIN : WVWZZZAUZJXXXXXXX (Address E8)
Type 04 - Calibration ID : 0EA016E 4219A AJ (Address E8)
Type 06 - Calibration Verification Number : C7E8960E (Address E8)
Type 0A - Controller Name : PCM-PowertrainCtrl (Address E8)

