;SW:5Q0-980-556-B   HW:5Q0-980-556-B ---  Back-up Cam.
;Component:RVC Compact   H19 0231, Coding:01330301C600201F000062
;EV_CamSysRVRVCPANAMQBAB,006009,EV_CamSysRVRVCPANAMQBAB.rod
;Friday,04,July,2025,21:19:26:16365
;VCDS Version: Release 25.3.1  Data version: 20250408 DS365.0
;VCID: 392F2DF919DA6C12885-806C

IDE02709-Actuator: PWM signal,100 %,1
IDE03531-Wheel/tire description,1950 mm,2
IDE07160-MAS01155-Control module switch-off: switch-off time-Control module,20 min,2
IDE07160-MAS05583-Control module switch-off: switch-off time-Data bus,30 min,2
MAS02209-Image contrast,50 %,1
MAS02851-Brightness,50 %,1
ENG119212-camera_off,35.00 km/h,2
ENG119211-camera_on,30.00 km/h,2
ENG119200-color,51 %,1
ENG119218-debounce_time_for_reverse_gear,0 ms,2
ENG119215-display_position,0 px,1
ENG119216-engine_restart_timer,0 ms,2
ENG119209-Frequency_Swinging_Logo,100 Hz,2
ENG119221-FSG_control_state,On ,1
ENG119220-ENG119101-grafic_element_setting-setting_1_color_value,FF FF ,128
ENG119220-ENG119099-grafic_element_setting-setting_1_HMI_mode,FF ,128
ENG119220-ENG119100-grafic_element_setting-setting_1_pallet_ID,255 ,128
ENG119220-ENG119128-grafic_element_setting-setting_10_color_value,FF FF ,128
ENG119220-ENG119126-grafic_element_setting-setting_10_HMI_mode,FF ,128
ENG119220-ENG119127-grafic_element_setting-setting_10_pallet_ID,255 ,128
ENG119220-ENG119131-grafic_element_setting-setting_11_color_value,FF FF ,128
ENG119220-ENG119129-grafic_element_setting-setting_11_HMI_mode,FF ,128
ENG119220-ENG119130-grafic_element_setting-setting_11_pallet_ID,255 ,128
ENG119220-ENG119134-grafic_element_setting-setting_12_color_value,FF FF ,128
ENG119220-ENG119132-grafic_element_setting-setting_12_HMI_mode,FF ,128
ENG119220-ENG119133-grafic_element_setting-setting_12_pallet_ID,255 ,128
ENG119220-ENG119137-grafic_element_setting-setting_13_color_value,FF FF ,128
ENG119220-ENG119135-grafic_element_setting-setting_13_HMI_mode,FF ,128
ENG119220-ENG119136-grafic_element_setting-setting_13_pallet_ID,255 ,128
ENG119220-ENG119140-grafic_element_setting-setting_14_color_value,FF FF ,128
ENG119220-ENG119138-grafic_element_setting-setting_14_HMI_mode,FF ,128
ENG119220-ENG119139-grafic_element_setting-setting_14_pallet_ID,255 ,128
ENG119220-ENG119143-grafic_element_setting-setting_15_color_value,FF FF ,128
ENG119220-ENG119141-grafic_element_setting-setting_15_HMI_mode,FF ,128
ENG119220-ENG119142-grafic_element_setting-setting_15_pallet_ID,255 ,128
ENG119220-ENG119146-grafic_element_setting-setting_16_color_value,FF FF ,128
ENG119220-ENG119144-grafic_element_setting-setting_16_HMI_mode,FF ,128
ENG119220-ENG119145-grafic_element_setting-setting_16_pallet_ID,255 ,128
ENG119220-ENG119149-grafic_element_setting-setting_17_color_value,FF FF ,128
ENG119220-ENG119147-grafic_element_setting-setting_17_HMI_mode,FF ,128
ENG119220-ENG119148-grafic_element_setting-setting_17_pallet_ID,255 ,128
ENG119220-ENG119152-grafic_element_setting-setting_18_color_value,FF FF ,128
ENG119220-ENG119150-grafic_element_setting-setting_18_HMI_mode,FF ,128
ENG119220-ENG119151-grafic_element_setting-setting_18_pallet_ID,255 ,128
ENG119220-ENG119155-grafic_element_setting-setting_19_color_value,FF FF ,128
ENG119220-ENG119153-grafic_element_setting-setting_19_HMI_mode,FF ,128
ENG119220-ENG119154-grafic_element_setting-setting_19_pallet_ID,255 ,128
ENG119220-ENG119104-grafic_element_setting-setting_2_color_value,FF FF ,128
ENG119220-ENG119102-grafic_element_setting-setting_2_HMI_mode,FF ,128
ENG119220-ENG119103-grafic_element_setting-setting_2_pallet_ID,255 ,128
ENG119220-ENG119158-grafic_element_setting-setting_20_color_value,FF FF ,128
ENG119220-ENG119156-grafic_element_setting-setting_20_HMI_mode,FF ,128
ENG119220-ENG119157-grafic_element_setting-setting_20_pallet_ID,255 ,128
ENG119220-ENG119161-grafic_element_setting-setting_21_color_value,FF FF ,128
ENG119220-ENG119159-grafic_element_setting-setting_21_HMI_mode,FF ,128
ENG119220-ENG119160-grafic_element_setting-setting_21_pallet_ID,255 ,128
